time	x	y	r_ag	h_ag	r_bg	h_bg	growth	ag_resources	bg_resources	inc_r_ag	inc_h_ag	inc_r_bg	inc_h_bg	w_r_ag	w_h_ag	w_r_bg	w_h_bg
0	10	11	0.005	0.01	0.005	0.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
86400	10	11	0.0098384	0.0293536	0.0081104	0.0172576	0.03456	1	1	0.0048384	0.0193536	0.0031104	0.0072576	0.14	0.56	0.09	0.21
172800	10	11	0.0146768	0.0487072	0.0112208	0.0245152	0.03456	1	1	0.0048384	0.0193536	0.0031104	0.0072576	0.14	0.56	0.09	0.21
259200	10	11	0.0195152	0.0680608	0.0143312	0.0317728	0.03456	1	1	0.0048384	0.0193536	0.0031104	0.0072576	0.14	0.56	0.09	0.21
345600	10	11	0.0243536	0.0874144	0.0174416	0.0390304	0.03456	1	1	0.0048384	0.0193536	0.0031104	0.0072576	0.14	0.56	0.09	0.21
432000	10	11	0.029192	0.106768	0.020552	0.046288	0.03456	1	1	0.0048384	0.0193536	0.0031104	0.0072576	0.14	0.56	0.09	0.21
518400	10	11	0.0340304	0.126121599	0.0236624	0.0535456	0.034559999	1	1	0.0048384	0.0193536	0.0031104	0.0072576	0.14	0.56	0.09	0.21
604800	10	11	0.0388688	0.145475199	0.0267728	0.0608032	0.034559999	1	1	0.0048384	0.019353599	0.0031104	0.0072576	0.14	0.56	0.09	0.21
691200	10	11	0.043707199	0.164828798	0.0298832	0.068060799	0.034559999	1	1	0.0048384	0.019353599	0.0031104	0.0072576	0.14	0.56	0.09	0.21
777600	10	11	0.048545599	0.184182397	0.032993599	0.075318399	0.034559998	1	1	0.0048384	0.019353599	0.0031104	0.0072576	0.14	0.56	0.09	0.21
864000	10	11	0.053383999	0.203535995	0.036103999	0.082575998	0.034559997	1	1	0.0048384	0.019353598	0.0031104	0.007257599	0.14	0.56	0.09	0.21
950400	10	11	0.058222398	0.222889593	0.039214399	0.089833597	0.034559996	1	1	0.004838399	0.019353598	0.0031104	0.007257599	0.14	0.56	0.09	0.21
1036800	10	11	0.063060798	0.24224319	0.042324798	0.097091196	0.034559995	1	1	0.004838399	0.019353597	0.0031104	0.007257599	0.14	0.56	0.09	0.21
1123200	10	11	0.067899197	0.261596787	0.045435198	0.104348795	0.034559994	1	1	0.004838399	0.019353597	0.003110399	0.007257599	0.14	0.56	0.09	0.21
1209600	10	11	0.072737596	0.280950383	0.048545597	0.111606394	0.034559992	1	1	0.004838399	0.019353596	0.003110399	0.007257598	0.14	0.56	0.09	0.21
1296000	10	11	0.077575994	0.300303977	0.051655996	0.118863992	0.034559991	1	1	0.004838399	0.019353595	0.003110399	0.007257598	0.14	0.56	0.09	0.21
1382400	10	11	0.082414393	0.319657571	0.054766395	0.126121589	0.034559988	1	1	0.004838398	0.019353594	0.003110399	0.007257598	0.14	0.56	0.09	0.21
1468800	10	11	0.087252791	0.339011163	0.057876794	0.133379186	0.034559986	1	1	0.004838398	0.019353592	0.003110399	0.007257597	0.14	0.56	0.09	0.21
1555200	10	11	0.092091188	0.358364754	0.060987193	0.140636783	0.034559984	1	1	0.004838398	0.019353591	0.003110399	0.007257597	0.14	0.56	0.09	0.21
1641600	10	11	0.096929586	0.377718343	0.064097591	0.147894379	0.034559981	1	1	0.004838397	0.019353589	0.003110398	0.007257596	0.14	0.56	0.09	0.21
1728000	10	11	0.101767983	0.39707193	0.067207989	0.155151974	0.034559977	1	1	0.004838397	0.019353587	0.003110398	0.007257595	0.14	0.56	0.09	0.21
